Join_ID,FIPS,Point Coun
928,01095031200,11.0
929,01097000200,7.0
930,01097000401,1.0
931,01097000402,
932,01097000500,2.0
933,01097000600,2.0
934,01097000701,
935,01097000702,
936,01097000801,6.0
937,01097000802,
938,01097000901,15.0
939,01097000902,2.0
940,01097000903,
941,01097001001,5.0
942,01097001002,
943,01097001100,
944,01097001200,2.0
945,01097001302,1.0
946,01097001400,1.0
947,01097001501,
948,01097001502,
949,01097001800,
950,01097001901,1.0
951,01097001902,1.0
952,01097002000,
953,01097002100,1.0
954,01097002200,
955,01097002301,
956,01097002302,
957,01097002400,
958,01097002501,5.0
959,01097002502,6.0
960,01097002600,4.0
961,01097002700,8.0
962,01097002800,8.0
963,01097002900,2.0
964,01097003000,0.0
965,01097003100,3.0
966,01097003202,1.0
967,01097003203,4.0
968,01097003205,2.0
969,01097003206,2.0
970,01097003207,2.0
971,01097003301,16.0
972,01097003302,0.0
973,01097003402,
974,01097003404,1.0
975,01097003405,
976,01097003406,1.0
977,01097003408,1.0
978,01097003409,
979,01097003410,1.0
980,01097003501,0.0
981,01097003502,2.0
982,01097003602,
983,01097003606,0.0
984,01097003607,0.0
985,01097003608,0.0
986,01097003703,22.0
987,01097003704,8.0
988,01097003705,3.0
989,01097003706,2.0
990,01097003707,3.0
991,01097003708,1.0
992,01097003710,1.0
993,01097003711,
994,01097003712,3.0
995,01097003800,
996,01097003901,1.0
997,01097003902,
998,01097004000,
999,01097004100,
1000,01097004800,
1001,01097004900,1.0
1002,01097005000,
1003,01097005100,
1004,01097005200,3.0
1005,01097005300,
1006,01097005400,3.0
1007,01097005500,5.0
1008,01097005601,
1009,01097005602,2.0
1010,01097005701,
1011,01097005702,
1012,01097005800,1.0
1013,01097005900,1.0
1014,01097006000,4.0
1015,01097006102,
1016,01097006103,2.0
1017,01097006104,
1018,01097006106,2.0
1019,01097006107,
1020,01097006201,2.0
1021,01097006202,
1022,01097006303,1.0
1023,01097006304,
1024,01097006305,1.0
1025,01097006306,
1026,01097006307,6.0
1027,01097006402,2.0
1028,01097006403,2.0
1029,01097006407,2.0
1030,01097006408,4.0
1031,01097006409,5.0
1032,01097006410,0.0
1033,01097006411,1.0
1034,01097006412,
1035,01097006413,1.0
1036,01097006501,
1037,01097006503,
1038,01097006504,
1039,01097006505,
1040,01097006600,4.0
1041,01097006702,
1042,01097006703,
1043,01097006704,
1044,01097006802,7.0
1045,01097006803,2.0
1046,01097006804,3.0
1047,01097006902,2.0
1048,01097006903,1.0
1049,01097006904,
1050,01097007000,0.0
1051,01097007101,
1052,01097007102,
1053,01097007103,1.0
1054,01097007201,
1055,01097007203,
1056,01097007204,
1057,01097007300,5.0
1058,01097007400,1.0
1059,01097007500,
1060,01097007600,
1061,01097007700,1.0
1062,01097980000,0.0
1063,01097990000,
1064,01099075600,1.0
1065,01099075700,
1066,01099075800,
1067,01099075901,7.0
1068,01099075902,2.0
1069,01099076000,3.0
1070,01099076101,0.0
1071,01099076102,1.0
1072,01099076200,
1073,01101000100,2.0
1074,01101000200,3.0
1075,01101000300,
1076,01101000400,2.0
1077,01101000500,1.0
1078,01101000600,22.0
1079,01101000700,1.0
1080,01101000900,2.0
1081,01101001000,
1082,01101001100,
1083,01101001200,
1084,01101001300,2.0
1085,01101001400,0.0
1086,01101001500,5.0
1087,01101001600,3.0
1088,01101001700,2.0
1089,01101001800,3.0
1090,01101001900,1.0
1091,01101002000,14.0
1092,01101002100,4.0
1093,01101002201,
1094,01101002202,
1095,01101002300,3.0
1096,01101002400,1.0
1097,01101002500,1.0
1098,01101002600,3.0
1099,01101002700,2.0
1100,01101002800,2.0
1101,01101002901,
1102,01101002902,1.0
1103,01101003000,
1104,01101003100,
1105,01101003200,4.0
1106,01101003301,2.0
1107,01101003303,4.0
1108,01101003304,13.0
1109,01101005101,
1110,01101005102,
1111,01101005301,
1112,01101005302,
1113,01101005402,1.0
1114,01101005403,3.0
1115,01101005407,38.0
1116,01101005409,2.0
1117,01101005410,3.0
1118,01101005411,2.0
1119,01101005412,12.0
1120,01101005413,
1121,01101005414,1.0
1122,01101005501,
1123,01101005502,
1124,01101005503,4.0
1125,01101005504,
1126,01101005604,
1127,01101005605,0.0
1128,01101005606,0.0
1129,01101005607,1.0
1130,01101005608,
1131,01101005609,3.0
1132,01101005610,
1133,01101005611,3.0
1134,01101005612,
1135,01101005613,1.0
1136,01101005614,1.0
1137,01101005700,
1138,01101005800,
1139,01101005902,1.0
1140,01101005903,
1141,01101005904,3.0
1142,01101006000,
1143,01101006100,
1144,01103000100,15.0
1145,01103000200,
1146,01103000300,1.0
1147,01103000400,7.0
1148,01103000600,
1149,01103000700,3.0
1150,01103000800,0.0
1151,01103000900,5.0
1152,01103001000,3.0
1153,01103005101,1.0
1154,01103005103,
1155,01103005105,
1156,01103005106,3.0
1157,01103005107,
1158,01103005108,6.0
1159,01103005109,6.0
1160,01103005201,
1161,01103005202,
1162,01103005302,1.0
1163,01103005303,7.0
1164,01103005304,2.0
1165,01103005305,2.0
1166,01103005306,1.0
1167,01103005404,1.0
1168,01103005405,
1169,01103005500,
1170,01103005601,
1171,01103005602,3.0
1172,01103005701,
1173,01103005703,
1174,01103005704,
1175,01105686800,
1176,01105687001,0.0
1177,01105687002,3.0
1178,01105687100,2.0
1179,01107050000,1.0
1180,01107050100,1.0
1181,01107050200,
1182,01107050300,1.0
1183,01107050401,
1184,01107050402,2.0
1185,01109188600,
1186,01109188700,0.0
1187,01109188800,
1188,01109188900,1.0
1189,01109189001,1.0
1190,01109189002,2.0
1191,01109189003,3.0
1192,01109189101,2.0
1193,01109189102,5.0
1194,01109189200,
1195,01109189300,1.0
1196,01111000100,
1197,01111000200,1.0
1198,01111000300,5.0
1199,01111000400,6.0
1200,01111000500,1.0
1201,01111000600,1.0
1202,01113030200,3.0
1203,01113030300,
1204,01113030402,2.0
1205,01113030403,0.0
1206,01113030404,2.0
1207,01113030500,2.0
1208,01113030601,2.0
1209,01113030602,2.0
1210,01113030700,1.0
1211,01113030800,
1212,01113030903,
1213,01113030904,
1214,01113030905,
1215,01113030906,2.0
1216,01113030907,
1217,01113031000,
1218,01113031100,2.0
1219,01113031200,
1220,01115040104,2.0
1221,01115040105,1.0
1222,01115040107,1.0
1223,01115040108,1.0
1224,01115040109,0.0
1225,01115040110,3.0
1226,01115040206,
1227,01115040207,6.0
1228,01115040208,6.0
1229,01115040209,2.0
1230,01115040210,
1231,01115040211,3.0
1232,01115040212,
1233,01115040213,
1234,01115040301,
1235,01115040302,1.0
1236,01115040401,4.0
1237,01115040402,
1238,01115040503,1.0
1239,01115040504,
1240,01115040505,2.0
1241,01115040506,3.0
1242,01115040507,
1243,01115040508,
1244,01117030102,2.0
1245,01117030103,1.0
1246,01117030211,1.0
1247,01117030212,2.0
1248,01117030215,5.0
1249,01117030216,3.0
1250,01117030218,1.0
1251,01117030219,1.0
1252,01117030220,3.0
1253,01117030221,3.0
1254,01117030304,4.0
1255,01117030305,5.0
1256,01117030306,3.0
1257,01117030314,5.0
1258,01117030315,11.0
1259,01117030316,2.0
1260,01117030317,2.0
1261,01117030319,14.0
1262,01117030320,0.0
